code,date,termination_date,timestamp,exact,status,country,provider,mobile_subscriptions_2009,mobile_subscriptions_2010,mobile_subscriptions_2011,mobile_subscriptions_2012,mobile_subscriptions_2013,mobile_subscriptions_2014,mobile_subscriptions_2015,mobile_subscriptions_2016,gdp_2009,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,individual_net_usage_2009,individual_net_usage_2010,individual_net_usage_2011,individual_net_usage_2012,individual_net_usage_2013,individual_net_usage_2014,individual_net_usage_2015,individual_net_usage_2016
TEA,,,,,,,,61.4,70.8,80.8,89.7,96.8,101.9,102.5,108.4,6518.68,7864.01,9612.57,10723.40,11837.90,12729.50,13242.70,13486.40,24.07,29.32,32.79,36.52,39.71,42.06,45.21,48.39
TEC,,,,,,,,117.8,122.5,120.4,123.5,128.0,129.4,130.0,130.5,3095.60,3635.51,4420.59,4611.30,4893.44,4623.92,3598.46,3463.19,30.44,38.17,42.61,49.87,53.73,57.74,60.93,64.50
TGO,6/22/2015,,1434931200,Missing Data,Added,Togo,Moov,35.6,41.3,41.6,49.9,62.5,64.6,67.7,74.9,3.16,3.17,3.76,3.87,4.08,4.48,4.09,4.40,2.60,3.00,3.50,4.00,4.50,5.70,7.12,11.31
THA,10/1/2015,,1443657600,Exact,Added,Thailand,TrueMove,99.5,108.0,116.3,127.3,140.1,144.4,152.7,172.6,281.71,341.11,370.82,397.56,420.53,406.52,399.24,407.03,20.10,22.40,23.67,26.46,28.94,34.89,39.32,47.50
TJK,,,,,,,,65.8,77.9,80.9,81.5,91.8,95.1,98.6,106.7,4.98,5.64,6.52,7.63,8.51,9.24,7.85,6.95,10.07,11.55,13.03,14.51,16.00,17.49,18.98,20.47
TKM,,,,,,,,42.8,63.4,103.8,114.1,116.9,135.8,145.9,157.7,20.21,22.58,29.23,35.16,39.20,43.52,35.80,36.18,1.95,3.00,5.00,7.20,9.60,12.20,15.00,17.99
TLA,,,,,,,,89.1,98.1,106.9,111.4,117.0,116.3,112.2,110.5,4116.25,5142.11,5863.59,5912.82,6058.60,6171.39,5247.80,5094.16,31.27,34.98,39.70,43.40,46.43,48.93,54.41,56.51
TLS,3/5/2015,,1425513600,Missing Data,Added,Timor-Leste,Telkomcel,33.0,43.8,56.0,55.7,57.4,119.4,117.4,125.0,0.79,0.89,1.05,1.19,1.41,1.45,1.61,1.78,2.00,3.00,4.00,7.00,11.00,17.50,23.00,25.25
TMN,,,,,,,,72.8,82.3,89.3,95.3,101.1,101.9,102.6,103.2,1188.67,1374.62,1558.06,1670.27,1579.07,1578.70,1429.09,1440.24,17.49,20.41,22.64,25.91,29.44,34.44,38.77,42.22
TON,,,,,,,,51.2,52.2,52.6,53.4,54.6,64.3,69.1,74.7,0.32,0.37,0.42,0.47,0.45,0.44,0.44,0.40,10.00,16.00,25.00,30.00,32.75,35.95,38.65,39.95
TSA,,,,,,,,44.4,59.6,69.6,68.8,71.2,75.1,77.6,84.8,1665.59,2042.14,2272.01,2297.91,2356.88,2578.26,2682.80,2892.48,5.16,7.21,9.39,11.51,13.75,19.07,23.19,26.47
TSS,,,,,,,,37.7,44.4,53.1,59.7,66.0,70.9,76.1,74.4,1022.50,1367.18,1538.80,1613.53,1699.66,1781.29,1606.99,1512.91,4.65,7.15,8.49,10.37,12.42,14.77,17.76,20.00
TTO,,,,,,,,139.6,142.6,137.0,140.8,144.9,147.3,157.7,160.6,19.18,22.16,25.43,25.69,26.44,26.18,23.56,21.89,44.30,48.50,55.20,59.52,63.80,65.10,69.20,73.30
TUN,,,,,Planned,Tunisia,,93.2,104.5,115.2,118.1,115.6,128.5,129.9,125.8,43.45,44.05,45.81,45.04,46.25,47.59,43.16,42.06,34.07,36.80,39.10,41.44,43.80,46.16,48.52,50.88
TUR,,,,,,,,88.1,85.6,89.4,91.5,93.0,94.8,96.0,96.9,644.64,771.88,832.55,873.98,950.60,934.17,859.79,863.71,36.40,39.82,43.07,45.13,46.25,51.04,53.74,58.35
TUV,,,,,,,,10.2,16.3,21.6,28.4,34.4,38.4,66.6,76.4,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,20.00,25.00,30.00,35.00,37.00,39.20,42.70,46.01
TZA,10/29/2014,,1414540800,Exact,Added,Tanzania,Vodacom,40.0,46.7,55.4,57.0,55.7,62.8,75.9,74.4,28.57,31.41,33.88,39.09,44.33,48.20,45.63,47.34,2.40,2.90,3.20,3.95,4.40,7.00,10.00,13.00
UGA,,,,,,,,28.6,37.7,47.5,45.0,48.1,52.4,50.4,55.1,18.17,20.19,20.18,23.13,24.60,27.30,27.06,24.08,9.78,12.50,13.01,14.10,15.50,16.90,17.83,21.88
UKR,,,,,Planned,Ukraine,,118.8,117.1,121.3,130.3,138.1,144.1,144.0,132.6,117.23,136.01,163.16,175.78,183.31,133.50,91.03,93.27,17.90,23.30,28.71,35.27,40.95,46.24,48.88,52.48
UMC,,,,,,,,74.7,82.0,88.9,95.6,102.9,105.4,105.3,107.8,13027.00,15792.20,18897.10,20194.40,21498.90,22212.20,20772.40,20623.90,28.50,33.88,38.15,42.75,46.18,49.02,52.57,55.70
URY,,,,,,,,122.4,131.6,140.6,147.1,154.6,160.8,150.6,148.7,31.66,40.28,47.96,51.26,57.53,57.24,53.27,52.42,41.80,46.40,51.40,54.45,57.69,61.46,64.60,66.40
USA,,,,,,,,88.6,91.3,94.4,96.0,97.1,110.2,117.6,127.2,14418.70,14964.40,15517.90,16155.30,16691.50,17393.10,18120.70,18624.50,71.00,71.69,69.73,74.70,71.40,73.00,74.55,76.18
UZB,,,,,,,,59.9,75.5,90.4,71.0,74.3,73.8,73.3,77.3,33.69,39.33,45.92,51.82,57.69,63.07,66.90,67.22,11.90,15.90,18.60,23.60,26.80,35.50,42.80,46.79
VCT,10/13/2016,,1476316800,Not exact,Added,Saint Vincent & the Grenadines,Digicel,110.9,120.6,120.5,116.1,114.6,105.2,103.7,103.0,0.67,0.68,0.68,0.69,0.72,0.73,0.76,0.77,31.00,33.70,36.70,40.00,43.50,47.40,51.77,55.57
VEN,,,,,,,,98.4,96.0,97.6,102.1,101.6,99.0,93.0,87.0,329.79,393.19,316.48,381.29,371.01,482.36,0.00,0.00,32.70,37.37,40.22,49.05,54.90,57.00,61.87,60.00
VGB,10/13/2016,,1476316800,Not exact,Added,British Virgin Islands,Digicel,177.2,174.6,168.0,173.4,188.4,191.7,198.6,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,37.00,37.40,37.60,,,,
VIR,,,,,,,,,,,,,,,,4.20,4.34,4.24,4.10,3.76,3.62,3.77,0.00,27.40,31.22,35.60,40.55,45.30,50.07,54.84,59.61
VNM,5/25/2017,,1495670400,Exact,Added,Vietnam,Mobifone,111.4,125.3,141.6,145.0,135.0,147.1,128.8,128.0,106.02,115.93,135.54,155.82,171.22,186.21,193.24,205.28,26.55,30.65,35.07,36.80,38.50,41.00,43.50,46.50
VUT,3/1/2017,,1488326400,Not Exact,Added,Vanuatu,Telecom,57.0,71.9,56.6,59.1,50.3,60.4,66.2,71.3,0.61,0.70,0.79,0.78,0.80,0.81,0.74,0.77,7.50,8.00,9.20,10.60,11.30,18.80,22.35,24.00
WLD,,,,,,,,67.9,76.5,84.2,88.5,93.1,96.7,98.2,101.6,60168.30,65954.80,73280.50,74890.20,76989.60,79045.20,74760.30,75847.80,25.49,28.85,31.28,34.34,36.89,39.94,43.20,45.91
WSM,,,,,,,,,48.4,,53.1,52.5,55.5,62.4,69.2,0.56,0.64,0.74,0.80,0.80,0.80,0.80,0.79,6.00,7.00,11.00,12.92,15.30,21.20,25.41,29.41
XKX,,,,,,,,32.4,32.4,,,,,,,5.65,5.83,6.65,6.47,7.07,7.39,6.44,6.65,,,,,,,,
YEM,,,,,,,,37.4,48.7,50.1,58.3,69.0,68.5,68.0,67.2,25.13,30.91,32.73,35.39,40.42,43.23,37.73,27.32,9.96,12.35,14.91,17.45,20.00,22.55,24.09,24.58
ZAF,,,,,,,,91.2,97.9,123.2,130.6,145.6,149.2,164.5,142.4,297.22,375.30,416.88,396.33,366.81,351.12,317.61,295.46,10.00,24.00,33.97,41.00,46.50,49.00,51.92,54.00
ZMB,7/27/2014,,1406419200,Not exact,Added,Zambia,MTN,34.4,41.2,59.9,74.8,71.5,67.3,74.5,74.9,15.33,20.27,23.46,25.50,28.05,27.15,21.15,21.06,6.31,10.00,11.50,13.47,15.40,19.00,21.00,25.51
ZWE,,,,,,,,31.0,58.9,68.9,91.9,96.3,80.8,84.8,83.2,8.62,10.14,12.10,14.24,15.45,15.89,16.30,16.62,4.00,6.40,8.40,12.00,15.50,16.36,22.74,23.12
